Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2015-05-08,236.92,246.57,235.29,243.2,9486.75496765,2289574.7715945,241.3443563581
2015-05-07,228.34,240.0,227.35,236.87,11062.64912012,2580889.82639,233.29763046503
2015-05-06,235.18,235.94,227.01,228.49,8623.82721204,2008359.3963604,232.88492997128
2015-05-05,238.22,238.78,229.66,235.12,8621.54731857,2014039.5295489,233.60534427631
2015-05-04,239.73,242.2,236.07,238.34,7504.68875392,1790508.8307884,238.58535503598
2015-05-03,233.83,242.25,232.31,239.0,4407.81416718,1053978.3866787,239.11588526722
2015-05-02,231.05,234.9,229.87,233.83,4350.05906771,1011094.6846956,232.43240355075
2015-05-01,236.47,239.23,230.51,231.0,6687.12335919,1569832.9273407,234.75459371977
2015-04-30,225.5,240.0,224.6,236.2,12490.20235984,2913475.4100059,233.26086528219
2015-04-29,225.18,226.99,221.81,225.48,8668.36064954,1948799.3763664,224.81752376902
2015-04-28,227.17,227.56,221.45,225.16,9345.78320741,2100833.7269467,224.78947781294
2015-04-27,219.52,229.93,217.52,227.23,13816.49148053,3078036.4850449,222.77989237588
2015-04-26,226.12,227.26,214.98,219.52,11238.3562881,2465554.2202679,219.38744039274
2015-04-25,231.04,232.29,225.7,226.12,5286.09859352,1206594.8350176,228.25810258186
2015-04-24,235.61,236.0,228.0,230.24,8543.66710734,1975149.0139872,231.18281519774
2015-04-23,233.25,236.22,232.01,235.98,8352.85732174,1958492.8358002,234.46980600312
2015-04-22,235.71,238.64,229.1,233.45,10710.5002402,2519188.9278977,235.20740127919
2015-04-21,224.3,236.0,223.91,235.74,9923.67825035,2272979.6672278,229.04608653022
2015-04-20,222.54,226.51,221.43,224.3,5966.8612393,1338160.6783397,224.26542610477
2015-04-19,223.35,227.35,221.91,222.54,5901.49567575,1326434.6673769,224.76245688484
2015-04-18,222.6,224.72,220.32,223.4,4620.31557899,1028922.5717338,222.695301683
2015-04-17,227.36,228.29,220.0,222.6,7928.39539992,1772380.4767046,223.54844672888
2015-04-16,222.83,229.67,222.44,227.5,10834.87328684,2456157.8254016,226.69003691854
2015-04-15,215.78,222.88,214.05,222.88,9949.32442139,2188510.2760059,219.96571659686
2015-04-14,222.97,224.79,210.0,215.8,18582.18957531,4046514.4048087,217.76305684585
2015-04-13,236.42,236.9,219.64,223.15,13924.2267056,3188473.5003665,228.98747397469
2015-04-12,236.09,237.5,233.42,236.5,3173.32765095,749346.73115926,236.13909863198
2015-04-11,235.99,239.42,233.0,236.15,4108.50400057,970132.10032436,236.12782175452
2015-04-10,243.75,243.94,231.0,235.99,11549.63065654,2728444.2880344,236.23649700776
